Field|Description
id|
|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
billing_id| identification number used by BSMD to identify direct participants billable to WESM
direct_participant| name of the direct participant who owns the billing ID
effective_end_date| end date of configuration
effective_start_date| start date of configuration
renewable| determines non-renewable and renewable generators. Used in GMR/VAT
tp_address| address of trading participant
tp_short_name| short name of the trading participant associated with the billing ID (could be direct or indirect)
trading_participant| full name of the trading participant associated with the billing ID (could be direct or indirect)
virtual_id| identification number of direct participants in CRSS registration
withholding_tax| determines generators with or without withholding tax. Used in GMR/VAT.
zero_rated| determines vatable and non-vatable participants. Used in GMR/VAT.
