Field|Description
id|
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
amount| equivalent amount with respect to set price and quantity
effective_end_date| end date of configuration
effective_start_date| start date of configuration
energy| configured rate for energy market fees
market_fee_mode| budget or rate
reserves| configured rate for reserve market fees
