Field|Description
id| unique identifier
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
effective_end_date| end date of configuration
effective_start_date| start date of configuration
market_fee| enable or disable Reserve Market fee calculation
market_product_id| reserve category ID in registration (CRSS Ph 1.0)
rcra| enable or disable RCRA calculation
reserve_category_name| corresponding name of reserve category
rta| enable or disable RTA calculation
