Field|Description
group_id| identification of a settlement processing based on settlement trigger; one job_id can incur multiple group_ids with adjustment run
adj_run_created_date| date when the adjustment is applied
billing_period_end| end date of the billing period; usually on the 25th of the current month
billing_period_id| ordinal number of the billing period starting june 2006
billing_period_start| start date of the billing period; usually on the 26th of last month
inv_generated| check if AMS INV is generated
mf_generated| check if AMS MF is generated
mru_installments| count of mru installment
parent_job|
run_id| identification of a settlement run by process type, by billing period; unique per job trigger
sp_generated| check if AMS SP is generated
