Field|Description
id|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
group_id|
job_id|
run_date|
bcq|
buyer_bilateral_adj_amt|
buyer_bilateral_llcc|
buyer_billing_id|
dispatch_interval|
fedp|
fedp_mcc|
fedp_mlc|
fedp_mlc_mcc|
fedp_smp|
llcp|
lowest_fedp_mlc_mcc|
reference_mtn|
sein|
seller_bilateral_adj_amt|
seller_bilateral_llcc|
seller_billing_id|
seller_mtn|
