Field|Description
id|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
group_id|
job_id|
run_date|
billing_id| identification number used by BSMD to identify direct participants billable to WESM
billing_period_end|
billing_period_start|
gmr|
tta|
vat_on_purchases|
vat_on_sales|
vatable_purchases|
vatable_sales|
withholding_tax_amt|
zero_rated_ecozone|
zero_rated_purchases|
zero_rated_sales|
