Field|Description
id|
created_by| author of the entry
created_date| date when the entry is created
modified_by|
modified_date|
version|
group_id|
job_id|
run_date|
billing_id| Identification number used by BSMD to identify direct participants billable to WESM
billing_tp|
billing_tp_short_name|
direct_participant| Name of the direct participant who owns the billing ID
dispatch_interval|
facility_type|
fedp|
fedp_mcc|
fedp_mlc|
fedp_mlc_mcc|
fedp_smp|
gesq|
gta|
llcc|
llcp|
lowest_fedp_mlc_mcc|
market_fee|
mtn|
mtn_facility_type|
mw_schedule|
region|
renewable| Determines non-renewable and renewable generators. Used in GMR/VAT
sein|
virtual_id|
withholding_tax|
zero_rated|
