Field|Description
id| unique identifier
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
group_id| identification of a settlement processing based on settlement trigger; one job_id can incur multiple group_ids with adjustment run
job_id| identification of a settlement processing based from settlement-ready meter data
run_date| date the job was run
billing_id| identification used by BSMD to identify direct participants billable to WESM
billing_tp| full name of trading participant
billing_tp_short_name| short name of trading participant
direct_participant| name of the direct participant who owns the billing ID
dispatch_interval| for SOW9: default is 5 minutes
facility_type| gen or load
fedp| final energy dispatch price - from TODI eps
fedp_mcc| marginal congestion cost  - from TODI eps
fedp_mlc| marginal loss cost  - from TODI eps
fedp_mlc_mcc| summation of mlc and mcc - from TODI eps
fedp_smp| system marginal price - from TODI eps
gesq| gross energy settlement quantities
gta| gross trading amounts
llcc| line loss congestion cost
llcp| calculated line loss congestion pric
lowest_fedp_mlc_mcc| lowest (mlc+mcc) by dispatch interval
mtn| market trading node involved
mtn_facility_type| gen or load
mw_schedule| energy schedule of mtn; from TODI eps
region| luzon, visayas, or mindanao
renewable| determines non-renewable and renewable generators; used in GMR/VAT
sein| metering point
virtual_id| identification of direct participants in CRSS registration
withholding_tax| determines generators with or without withholding tax; used in GMR/VAT.
zero_rated| determines vatable and non-vatable participants; used in GMR/VAT.
region_group| luzon&vizayas, or mindanao
pricing_flag| AP, SEC or OK
market_fee_qty| generated energy quantity used to compute for energy market fees
