Field|Description
id|
created_by| author of the entry
created_date| date when the entry is created
modified_by|
modified_date|
version|
ac_group_id|
ac_job_id|
approved_rate|
billing_id| Identification number used by BSMD to identify direct participants billable to WESM
billing_period_end|
billing_period_start|
group_id|
job_id|
pricing_condition|
run_date|
virtual_id|
ac_amount|
ac_mtn|
allocation_amount|
dispatch_interval|
facility_type|
gesq|
total_gesq_per_di_region|
mtn|
region|
sein|
