Field|Description
id|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
billing_id| identification number used by BSMD to identify direct participants billable to WESM
billing_period_end|
billing_period_start|
facility_type|
gmr|
nss_flowback|
purchases|
renewable| determines non-renewable and renewable generators. Used in GMR/VAT
run_date|
sales|
sales_to_ecozone|
tta|
vat_on_ecozones|
vat_on_purchases|
vat_on_sales|
vatable_purchases|
vatable_sales|
withholding_tax| determines generators with or without withholding tax. Used in GMR/VAT.
withholding_tax_amt|
zero_rated| determines vatable and non-vatable participants. Used in GMR/VAT.
zero_rated_purchases|
zero_rated_sales|
ac_group_id|
group_id|
prev_vat_on_energy|
pricing_condition|
virtual_id| identification number of direct participants in CRSS registration
