Field|Description
id|
created_by| author of the entry
created_date| date when the entry is created
modified_by|
modified_date|
version|
ac_group_id|
ac_job_id|
approved_rate|
billing_id| Identification number used by BSMD to identify direct participants billable to WESM
billing_period_end|
billing_period_start|
group_id|
job_id|
pricing_condition|
run_date|
virtual_id|
ac_amount|
bcq|
bilateral_adj_amt|
dispatch_interval|
gesq|
gta|
mtn|
purchases|
region|
renewable| Determines non-renewable and renewable generators. Used in GMR/VAT
sales|
sein|
spot_qty|
tta|
