Field|Description
id|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
group_id|
job_id|
run_date|
billing_id| identification number used by BSMD to identify direct participants billable to WESM
billing_period_end|
billing_period_start|
market_fee|
market_fee_mode|
mf_rate|
mfq|
mfr_config_amount|
mtn|
region|
total_mfq|
value_added_tax|
zero_rated| determines vatable and non-vatable participants. Used in GMR/VAT.
