Field|Description
id|
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
group_id| identification of a settlement processing based on settlement trigger; one job_id can incur multiple group_ids with adjustment run
job_id| identification of a settlement processing based from settlement-ready meter data
run_date| date the job was run
billing_id| identification used by BSMD to identify direct participants billable to WESM
cost_recovery_mode| For SOW9: CR_GESQ_GEN_ACTUAL, CR_GESQ_LOAD_ACTUAL, CR_GESQ_GEN_LOAD, CR_RUNWAY
dispatch_interval| for SOW9: default is 5 minutes
gen_gesq| actual gesq of generator
gen_gesq_abs| absolute gesq of generator
load_gesq| actual gesq of load
load_gesq_abs| absolute gesq of load
region| luzon, visayas, or mindanao
reserve_category| for SOW9: RU, RD, FR, FL, SR, SL, DR, DL
rr_cost| reserve cost recovery amount
scaling_factor| used to compute for allocations
total_gen_gesq| total gesq of generators
total_gen_gesq_abs| total gesq of generators in absolute value
total_load_gesq| total load gesq
total_load_gesq_abs|total gesq of loads in absolute value
total_rta| total reserve trading amount
