Field|Description
id|
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
group_id| identification of a settlement processing based on settlement trigger; one job_id can incur multiple group_ids with adjustment run
job_id| identification of a settlement processing based from settlement-ready meter data
run_date| date the job was run
billing_id| identification used by BSMD to identify direct participants billable to WESM
dispatch_interval| for SOW9: default is 5 minutes
final_llcc| final line loss congestion cost
gen_bilateral_llcc| gross generator bilateral line loss congestion cost
gen_gross_llcc| gross generator line loss congestion cost
load_bilateral_llcc| gross load bilateral line loss congestion cost
load_gesq| actual gesq of load
load_gross_llcc| gross llcc of load
nss_flowback| also known as nss allocation, either by LLCC or GESQ
raw_llcc| raw llcc, not the absolute value
scaling_factor| used to compute for allocations
total_final_llcc| total final llcc
total_load_gesq| total load gesq
total_nss| total nss per dispatch interval
