Field|Description
id|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
group_id|
job_id|
run_date|
billing_id| identification number used by BSMD to identify direct participants billable to WESM
dispatch_interval|
final_llcc|
gen_bilateral_llcc|
gen_gross_llcc|
load_bilateral_llcc|
load_gesq|
load_gross_llcc|
nss_flowback|
raw_llcc|
scaling_factor|
total_final_llcc|
total_load_gesq|
total_nss|
