Field|Description
id|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
group_id|
job_id|
run_date|
bcq|
buyer_billing_id|
buying_bcq|
buying_fedp|
buying_lr|
buying_mtn|
buying_sein|
dispatch_interval|
ref_fedp|
reference_mtn|
seller_billing_id|
seller_mtn|
selling_bcq|
selling_fedp|
selling_lr|
