Field|Description
id|
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
group_id| identification of a settlement processing based on settlement trigger; one job_id can incur multiple group_ids with adjustment run
job_id| identification of a settlement processing based from settlement-ready meter data
run_date| date the job was run
billing_period_end| end date of the billing period; usually on the 25th of the current month
billing_period_start| start date of the billing period; usually on the 26th of last month
gmr| generation mix ratio
total_sales| total sales
total_vatable_sales| total vatable sales
total_zero_rated_purchases| total zero-rated purchases
