Field|Description
id|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
group_id|
job_id|
run_date|
billing_id| identification number used by BSMD to identify direct participants billable to WESM
common_block|
dispatch_interval|
ga|
highest_mw_schedule|
mtn|
num_of_generators|
region|
reserve_category|
scaling_factor|
sein|
sqty|
total_rds|
