Field|Description
id|
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
group_id| identification of a settlement processing based on settlement trigger; one job_id can incur multiple group_ids with adjustment run
job_id| identification of a settlement processing based from settlement-ready meter data
run_date| date the job was run
billing_id| identification used by BSMD to identify direct participants billable to WESM
common_block| common blocks of provided reserves
dispatch_interval|
ga|generator allocation per common block
highest_mw_schedule| highest mw schedule at a given dispatch interval
mtn| market trading node involved
num_of_generators| number of sharing generators per block
region| luzon, visayas, or mindanao
reserve_category| for SOW9: RU, RD, FR, FL, SR, SL, DR, DL
scaling_factor| used to compute for allocations
sein| metering point
sqty| MW quantity shared by a generator in a common block
total_rds| total reserve dispatch schedule
