Field|Description
id|
created_by| author of the entry
created_date| date when the entry is created
modified_by|
modified_date|
version|
group_id|
job_id|
run_date|
bcq|
bilateral_adj_amt|
billing_id| Identification number used by BSMD to identify direct participants billable to WESM
dispatch_interval|
facility_type|
gesq|
gta|
mtn|
nss_flowback|
purchases|
region|
renewable| Determines non-renewable and renewable generators. Used in GMR/VAT
sales|
sein|
spot_qty|
tta|
withholding_tax|
zero_rated|
