Field|Description
id|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
group_id|
job_id|
run_date|
billing_id| identification number used by BSMD to identify direct participants billable to WESM
cost_recovery_mode|
dispatch_interval|
gen_gesq|
gen_gesq_abs|
load_gesq|
load_gesq_abs|
region|
reserve_category|
rr_cost|
scaling_factor|
total_gen_gesq|
total_gen_gesq_abs|
total_load_gesq|
total_load_gesq_abs|
total_rta|
