Field|Description
id| unique identifier
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
group_id| identification of a settlement processing based on settlement trigger; one job_id can incur multiple group_ids with adjustment run
job_id| identification of a settlement processing based from settlement-ready meter data
run_date| date the job was run
billing_id| identification used by BSMD to identify direct participants billable to WESM
dispatch_interval| for SOW9: default is 5 minutes
frdp| final reserve dispatch price - from TODI rps
mtn| market trading node involved
rbcq| reserve bilateral contract price
rds| reserve dispatch schedule
region| luzon, visayas, or mindanao
reserve_category| for SOW9: RU, RD, FR, FL, SR, SL, DR, DL
rsq| reserve settlement quantity
rta| enable or disable RTA calculation
zero_rated| determines vatable and non-vatable participants; used in GMR/VAT.
