Field|Description
id| unique identifier
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
ac_group_id| group id of additional compensation run
billing_period_end| end date of the billing period; usually on the 25th of the current month
billing_period_start| start date of the billing period; usually on the 26th of last month
gmr| generation mix ratio
region_group| luzon&vizayas, or mindanao
run_date| date the job was run
total_sales| total sales
total_vatable_sales| total vatable sales
total_zero_rated_purchases| total zero-rated purchases
