Field|Description
id|
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
group_id| identification of a settlement processing based on settlement trigger; one job_id can incur multiple group_ids with adjustment run
job_id| identification of a settlement processing based from settlement-ready meter data
run_date| date the job was run
dispatch_interval|
nss| net settlement surplus
total_buyer_bilateral_adj| total buyer bilateral adj amount
total_gen_gta| total gross trading amount of generators
total_load_gta| total gross trading amount of loads
total_seller_bilateral_adj| total seller bilateral adjustment
