Field|Description
id|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
group_id|
job_id|
run_date|
bcq|
bilateral_adj_amt|
billing_id| identification number used by BSMD to identify direct participants billable to WESM
dispatch_interval|
facility_type|
gesq|
gta|
mtn|
nss_flowback|
purchases|
region|
renewable| determines non-renewable and renewable generators. Used in GMR/VAT
sales|
sein|
spot_qty|
tta|
withholding_tax| determines generators with or without withholding tax. Used in GMR/VAT.
zero_rated| determines vatable and non-vatable participants. Used in GMR/VAT.
