Field|Description
id| unique identifier
|
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
billing_id| identification used by BSMD to identify direct participants billable to WESM
direct_participant| name of the direct participant who owns the billing ID
effective_end_date| end date of configuration
effective_start_date| start date of configuration
renewable| determines non-renewable and renewable generators; used in GMR/VAT
tp_address| address of trading participant; inputted by the user
tp_short_name| short name of the trading participant associated with the billing ID (could be direct or indirect); inputted by the user
trading_participant| full name of the trading participant associated with the billing ID (could be direct or indirect); inputted by the user
virtual_id| identification of direct participants in CRSS registration
withholding_tax| determines generators with or without withholding tax; used in GMR/VAT.
zero_rated| determines vatable and non-vatable participants; used in GMR/VAT.
charge_id| identification for each settlement or billing calculation; used in AMS INV and MF files.
charge_id_label| full name of charge IDs
interval| available configuration: 5-min or 15-min
vat_rate| global configuration for VAT rate; default is 12%
withholding_rate| global configuration for withholding rate of generators; default is 2%
amount| equivalent amount with respect to set price and quantity
energy| configured rate for energy market fees
market_fee_mode| budget or rate
reserves| configured rate for reserve market fees
due_date_interval_days| interval between due dates in MRU installment; default is 30 days
num_of_installments| number of MRU installments; default if 4
dispatch_interval_end| end datetime of configuration
dispatch_interval_start| start datetime of configuration
mtn| market trading node involved
cost_recovery_mode| For SOW9: CR_GESQ_GEN_ACTUAL, CR_GESQ_LOAD_ACTUAL, CR_GESQ_GEN_LOAD, CR_RUNWAY
market_product_id| reserve category ID in registration (CRSS Ph 1.0)
reserve_category_code| for SOW9: RU, RD, FR, FL, SR, SL, DR, DL
reserve_category_name| corresponding name of reserve category
name| region name
market_fee| enable or disable Reserve Market fee calculation
rcra| enable or disable RCRA calculation
rta| enable or disable RTA calculation
value|
author|
filename|
dateexecuted|
orderexecuted|
exectype|
md5sum|
description|
comments|
tag|
liquibase|
contexts|
labels|
deployment_id|
locked|
lockgranted|
lockedby|
sein| metering point
created_datetime|
details| details of validation error
error_code| code from validation error
group_id| identification of a settlement processing based on settlement trigger; one job_id can incur multiple group_ids with adjustment run
parent_job|
run_id| identification of a settlement run by process type, by billing period; unique per job trigger
adj_run_created_date| date when the adjustment is applied
billing_period_end| end date of the billing period; usually on the 25th of the current month
