Field|Description
id|
created_by|
created_date|
modified_by|
modified_date|
version|
group_id| id of the settlement run for adjustment versioning
job_id| id of the settlement run by process type and billing period
run_date|
bcq|
buyer_bilateral_adj_amt| gross buyer bilateral adjustment amount by dispatch interval
buyer_bilateral_llcc|  gross buyer bilateral LLCC by dispatch interval
buyer_billing_id| billing ID of buyer
dispatch_interval|
fedp| final energy dispatch price - from TODI eps
fedp_mcc| marginal congestion cost  - from TODI eps
fedp_mlc| marginal loss cost  - from TODI eps
fedp_mlc_mcc| summation of mlc and mcc - from TODI eps
fedp_smp| system marginal price - from TODI eps
llcp| calculated line loss congestion price
lowest_fedp_mlc_mcc| lowest (mlc+mcc) by dispatch interval
reference_mtn| reference mtn. usually the same with seller_mtn
sein| metering point
seller_bilateral_adj_amt| gross seller bilateral adjustment amount by dispatch interval
seller_bilateral_llcc| gross seller LLCC by dispatch interval
seller_billing_id| billing ID of seller
seller_mtn| MTN of seller
